Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,33.4,-34.25,180,top
C3,22uF,CP_EIA-3216-18_Kemet-A,28,-36.1,180,top
C4,100nF,C_0402_1005Metric,47.5,-42.2,0,top
C5,1uF,C_0402_1005Metric,47.5,-43.2,0,top
C6,10pF,C_0402_1005Metric,30,-46.4,180,top
C7,10pF,C_0402_1005Metric,29.8,-41.6,180,top
C8,100nF,C_0402_1005Metric,34.12,-46.9,180,top
C9,1uF,C_0402_1005Metric,34.12,-45.9,180,top
C10,1uF,C_0402_1005Metric,40.1,-34.29,0,top
C11,100nF,C_0402_1005Metric,41,-49.52,-90,top
C12,100nF,C_0402_1005Metric,39,-38,90,top
C13,100nF,C_0402_1005Metric,41.1,-38,90,top
C14,100nF,C_0402_1005Metric,46,-41.7,90,top
C15,100nF,C_0402_1005Metric,45.3,-44.6,90,top
C16,100nF,C_0402_1005Metric,36.2,-40.3,90,top
C17,100nF,C_0402_1005Metric,36.8,-46.7,-90,top
C18,100nF,C_0402_1005Metric,35.5,-67.25,-90,top
C19,100nF,C_0402_1005Metric,34.03,-67.25,-90,top
C20,100nF,C_0402_1005Metric,35,-77,-90,top
C21,100nF,C_0402_1005Metric,33.78,-77,-90,top
C22,100nF,C_0402_1005Metric,45.1,-66.62,-90,top
C23,100nF,C_0402_1005Metric,43.85,-66.62,-90,top
C24,100nF,C_0402_1005Metric,45.4,-77.02,-90,top
C25,100nF,C_0402_1005Metric,44.2,-77.02,-90,top
D1,LED,LED_0201_0603Metric,32.755,-39.4,0,top
J1,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Horizontal,42.58,-83.46,-90,top
R1,5.1k,R_0402_1005Metric,45.5,-31,0,top
R2,5.1k,R_0402_1005Metric,45.5,-29.75,0,top
R3,12k,R_0402_1005Metric,34.1,-47.9,180,top
R4,10k,R_0402_1005Metric,47.5,-44.2,180,top
R5,10k,R_0402_1005Metric,47.5,-40.5,180,top
R7,100k,R_0402_1005Metric,40.2,-35.79,90,top
R8,100k,R_0402_1005Metric,41.2,-35.79,90,top
R9,100k,R_0402_1005Metric,42.2,-35.79,90,top
R10,12k,R_0402_1005Metric,32.19,-37.975,-90,top
R11,12k,R_0402_1005Metric,33.3,-38,-90,top
R12,100k,R_0402_1005Metric,39.2,-35.79,90,top
R13,10k,R_0402_1005Metric,43.2,-35.79,90,top
R14,10k,R_0402_1005Metric,44.2,-35.79,90,top
R15,20,R_0603_1608Metric,36.2,-35,90,top
R16,20,R_0603_1608Metric,37.8,-35,90,top
R17,4.7k,R_0402_1005Metric,41.5,-56,-90,top
R18,4.7k,R_0402_1005Metric,43.5,-56.1,-90,top
R19,4.7k,R_0402_1005Metric,39.5,-56,-90,top
R20,4.7k,R_0402_1005Metric,37.5,-56,-90,top
U1,~,AMS1117,28.75,-30.5,-90,top
U2,~,USB2514-VQFN-36_L6.0-W6.0-P0.50-BL-EP,41,-43,0,top
U3,~,CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,32.5,-62.5,0,top
U4,~,CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,32.5,-72.501,0,top
U5,~,CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,42.499,-62.499,0,top
U6,~,CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,42.499,-72.5,0,top
USB1,~,USB-C-SMD_TYPE-C16PIN,37.5,-29,180,top
X1,24MHz,YXC_24MHz_CRYSTAL,31.8,-43.8,180,top
