Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0201_0603Metric",30.100000,-28.700000,-90.000000,top
"C3","22uF","CP_EIA-3216-18_Kemet-A",30.500000,-33.900000,-90.000000,top
"C4","100nF","C_0201_0603Metric",43.000000,-45.500000,0.000000,top
"C5","1uF","C_0201_0603Metric",43.000000,-44.500000,0.000000,top
"C6","12pF","C_0201_0603Metric",27.996776,-48.621142,0.000000,top
"C7","12pF","C_0201_0603Metric",27.996776,-40.621142,180.000000,top
"C8","100nF","C_0201_0603Metric",31.500000,-47.000000,-90.000000,top
"C9","1uF","C_0201_0603Metric",30.500000,-47.000000,-90.000000,top
"C10","1uF","C_0201_0603Metric",35.500000,-37.655000,-90.000000,top
"C11","100nF","C_0201_0603Metric",36.000000,-39.500000,90.000000,top
"C12","100nF","C_0201_0603Metric",43.000000,-43.500000,0.000000,top
"C13","100nF","C_0201_0603Metric",37.500000,-37.680000,90.000000,top
"C14","100nF","C_0201_0603Metric",33.320000,-43.000000,180.000000,top
"C15","100nF","C_0201_0603Metric",33.500000,-47.000000,-90.000000,top
"C16","100nF","C_0201_0603Metric",37.900000,-52.200000,-90.000000,top
"C17","100nF","C_0201_0603Metric",43.600000,-46.855000,-90.000000,top
"C18","100nF","C_0201_0603Metric",30.620000,-62.600000,0.000000,top
"C19","100nF","C_0201_0603Metric",29.300000,-63.200000,-90.000000,top
"C20","100nF","C_0201_0603Metric",30.250000,-73.000000,-90.000000,top
"C21","100nF","C_0201_0603Metric",29.200000,-73.000000,-90.000000,top
"C22","100nF","C_0201_0603Metric",39.300000,-63.000000,-90.000000,top
"C23","100nF","C_0201_0603Metric",38.300000,-63.000000,-90.000000,top
"C24","100nF","C_0201_0603Metric",39.000000,-72.500000,-90.000000,top
"C25","100nF","C_0201_0603Metric",38.000000,-72.500000,-90.000000,top
"D1","LED","LED_0201_0603Metric",34.100000,-39.000000,0.000000,top
"J1","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Horizontal",37.575000,-76.850000,-90.000000,top
"R1","5.1k","R_0201_0603Metric",34.000000,-27.000000,-90.000000,top
"R2","5.1k","R_0201_0603Metric",31.000000,-27.000000,-90.000000,top
"R3","12k","R_0201_0603Metric",32.500000,-47.000000,-90.000000,top
"R4","10k","R_0201_0603Metric",42.600000,-46.855000,90.000000,top
"R5","10k","R_0201_0603Metric",43.000000,-42.500000,180.000000,top
"R7","100k","R_0201_0603Metric",37.000000,-39.500000,90.000000,top
"R8","100k","R_0201_0603Metric",37.800000,-39.500000,90.000000,top
"R9","100k","R_0201_0603Metric",38.500000,-37.655000,90.000000,top
"R10","12k","R_0201_0603Metric",34.000000,-41.155000,-90.000000,top
"R11","12k","R_0201_0603Metric",35.000000,-40.500000,90.000000,top
"R12","100k","R_0201_0603Metric",36.500000,-37.655000,90.000000,top
"R13","10k","R_0201_0603Metric",39.200000,-39.500000,90.000000,top
"R14","10k","R_0201_0603Metric",40.200000,-39.505000,90.000000,top
"U1","~","AMS1117",25.000000,-32.000000,0.000000,top
"U2","~","USB2514-VQFN-36_L6.0-W6.0-P0.50-BL-EP",38.000000,-44.500000,0.000000,top
"U3","~","CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2",28.000503,-59.249999,0.000000,top
"U4","~","CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2",28.000000,-68.349999,0.000000,top
"U5","~","CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2",37.000003,-59.249999,0.000000,top
"U6","~","CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2",37.000000,-68.349999,0.000000,top
"USB1","~","USB-C-SMD_TYPE-C16PIN",32.500000,-22.594700,180.000000,top
"X1","24MHz","YXC_24MHz_CRYSTAL",28.176776,-44.621142,-90.000000,top
