"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC","Supplier","Supplier Part"
"C1","10u","~","Capacitor_SMD:C_0201_0603Metric","1","","","",""
"C3","22uF","~","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","1","","C7182","",""
"C4,C8,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25","100nF","~","Capacitor_SMD:C_0402_1005Metric","17","","","",""
"C5,C9,C10","1uF","~","Capacitor_SMD:C_0402_1005Metric","3","","","",""
"C6,C7","12pF","~","Capacitor_SMD:C_0402_1005Metric","2","","","",""
"D1","LED","~","LED_SMD:LED_0201_0603Metric","1",""," C2286","",""
"J1","Conn_02x05_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","1",""," C60563","",""
"R1,R2","5.1k","~","Resistor_SMD:R_0402_1005Metric","2","","","",""
"R3,R10,R11","12k","~","Resistor_SMD:R_0402_1005Metric","3","","","",""
"R4,R5,R13,R14","10k","~","Resistor_SMD:R_0402_1005Metric","4","","","",""
"R6","1M","~","Resistor_SMD:R_0402_1005Metric","1","DNP","","",""
"R7,R8,R9,R12","100k","~","Resistor_SMD:R_0402_1005Metric","4","","","",""
"U1,U2,U3,U4,U5,U6,USB1","~","https://atta.szlcsc.com/upload/public/pdf/source/20130802/1457706629224.pdf,https://atta.szlcsc.com/upload/public/pdf/source/20170103/1483439882795.pdf,https://atta.szlcsc.com/upload/public/pdf/source/20180727/C6186_7A095716F0823C02F1997A905E26C086.pdf,https://atta.szlcsc.com/upload/public/pdf/source/20190521/C393939_7B9043D4CF1026AF443AB60D91FBCD5C.pdf","JLCLibrary:AMS1117,JLCLibrary:CP2102-WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,JLCLibrary:USB-C-SMD_TYPE-C16PIN,JLCLibrary:USB2514-VQFN-36_L6.0-W6.0-P0.50-BL-EP","7","","C16251,C393939,C6186,C6568","LCSC","C16251,C393939,C6186,C6568"
"X1","24MHz","https://atta.szlcsc.com/upload/public/pdf/source/20240329/19D5F850207469550BEB00D7DFEDBC7A.pdf","JLCLibrary:YXC_24MHz_CRYSTAL","1","","C70590","LCSC","C70590"
